CD_GEOCMU;NM_MUNICIP;BIOMA
3504909;BANANAL;Mata Atlântica
2501500;BANANEIRAS;Caatinga
3105202;BANDEIRA;Mata Atlântica
3105301;BANDEIRA DO SUL;Mata Atlântica
4202081;BANDEIRANTE;Mata Atlântica
4102406;BANDEIRANTES;Mata Atlântica
5001508;BANDEIRANTES;Cerrado
1703057;BANDEIRANTES DO TOCANTINS;Amazônia
1703057;BANDEIRANTES DO TOCANTINS;Cerrado
1501253;BANNACH;Amazônia
2902658;BANZAÊ;Caatinga
4301651;BARÃO;Mata Atlântica
3505005;BARÃO DE ANTONINA;Mata Atlântica
3105400;BARÃO DE COCAIS;Cerrado
3105400;BARÃO DE COCAIS;Mata Atlântica
4301701;BARÃO DE COTEGIPE;Mata Atlântica
2101509;BARÃO DE GRAJAÚ;Cerrado
